row.names(geneExp_df),baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000197969.14,733.3720898533738,-0.2113693642294364,0.22275925175678477,-0.9488690708128963,0.3426872069040253,0.6392092741750933,VPS13A
ENSG00000197971.16,1299.7173104121027,-0.5137907665106977,0.22906354910734725,-2.2430053516280637,0.02489646940425864,0.17211371206699533,MBP
ENSG00000197976.12,1584.6386072007376,0.02156812258210482,0.136763793384365,0.15770345387751222,0.8746904787539573,0.9522103735419971,AKAP17A
ENSG00000197977.4,29.003635744359045,2.848946081803236,0.5065508376855696,5.624205646998964,1.8636353329285933e-08,8.956431734840576e-06,ELOVL2
ENSG00000197978.9,131.82433856968152,-0.4547415379011478,0.28297275353551776,-1.6070152769816768,0.10805101690570877,0.3676329984808268,GOLGA6L9
ENSG00000197980.13,32.52474664189151,-0.3024386953097649,0.3405837425019998,-0.888000974702981,0.3745402270089333,0.6653509555257467,LEKR1
ENSG00000197982.14,1091.3809821827176,0.7181647701112343,0.22785085066238966,3.15190734650954,0.001622077351094742,0.03641028091319888,C1orf122
ENSG00000197989.14,413.67495863982526,0.4245917283322203,0.22130986985237766,1.918539505786342,0.0550426378230627,0.26142726069976546,SNHG12
ENSG00000197993.9,10.229633059965149,0.7418705760580157,0.4004155623300948,1.8527516057091507,0.06391796955022983,0.2820890525068637,KEL
ENSG00000198000.12,810.7626477893699,-0.17502365801268577,0.14182845970083052,-1.234051743788774,0.21718362357145238,0.5162115041224496,NOL8
ENSG00000198001.14,599.843895684995,-0.21238218881183446,0.1296466774984516,-1.6381614470171901,0.1013880196002488,0.3562213800915791,IRAK4
ENSG00000198003.12,215.22203268616622,-0.09042656782535835,0.48509647745743617,-0.1864094505474793,0.8521236818550149,0.943649973804918,CCDC151
ENSG00000198015.14,1564.7281698899164,-0.07333211331197245,0.13416033763687873,-0.5466005423335676,0.5846531964143367,0.8111543187493062,MRPL42
